num_bsns_tot_num_bsns_num, yr, lga_code17, lga_name17
1281,2016,"43790","Loxton Waikerie (DC)"
178,2016,"41830","Flinders Ranges (DC)"
690,2016,"43920","Mallala (DC)"
5012,2016,"44340","Mitcham (C)"
2759,2016,"44550","Mount Barker (DC)"
168,2016,"41960","Franklin Harbour (DC)"
3290,2016,"42600","Holdfast Bay (C)"
211,2016,"43220","Kimba (DC)"
957,2016,"46450","Port Pirie City and Dists (M)"
651,2016,"51540","Carnarvon (S)"
6586,2016,"47140","Salisbury (C)"
298,2016,"43360","Kingston (DC) (SA)"
null,2016,"44000","Maralinga Tjarutja (AC)"
2077,2016,"44620","Mount Gambier (C)"
381,2016,"47290","Southern Mallee (DC)"
351,2016,"47490","Streaky Bay (DC)"
1108,2016,"47630","Tatiara (DC)"
4592,2016,"44060","Marion (C)"
743,2016,"44210","Mid Murray (DC)"
5222,2016,"47700","Tea Tree Gully (C)"
1352,2016,"45090","Naracoorte and Lucindale (DC)"
202,2016,"45400","Orroroo/Carrieton (DC)"
724,2016,"47800","The Coorong (DC)"
308,2016,"47910","Tumby Bay (DC)"
627,2016,"45120","Northern Areas (DC)"
6150,2016,"45290","Norwood Payneham St Peters (C)"
7963,2016,"45890","Port Adelaide Enfield (C)"
125,2016,"45540","Peterborough (DC)"
593,2016,"46090","Port Augusta (C)"
3123,2016,"45680","Playford (C)"
1872,2016,"46510","Prospect (C)"
5341,2016,"48410","West Torrens (C)"
731,2016,"48540","Whyalla (C)"
164,2016,"51610","Chapman Valley (S)"
961,2016,"46670","Renmark Paringa (DC)"
272,2016,"46860","Robe (DC)"
130,2016,"46970","Roxby Downs (M)"
5835,2016,"47980","Unley (C)"
238,2016,"49399","Unincorporated SA"
986,2016,"48050","Victor Harbor (C)"
696,2016,"48130","Wakefield (DC)"
3383,2016,"50080","Albany (C)"
107,2016,"51960","Coolgardie (S)"
4339,2016,"50210","Armadale (C)"
221,2016,"50250","Ashburton (S)"
177,2016,"52030","Coorow (S)"
1925,2016,"50280","Augusta-Margaret River (S)"
1109,2016,"50350","Bassendean (T)"
874,2016,"48260","Walkerville (M)"
5767,2016,"50420","Bayswater (C)"
3736,2016,"50490","Belmont (C)"
246,2016,"50560","Beverley (S)"
1421,2016,"48340","Wattle Range (DC)"
139,2016,"50630","Boddington (S)"
256,2016,"48640","Wudinna (DC)"
288,2016,"50770","Boyup Brook (S)"
475,2016,"50840","Bridgetown-Greenbushes (S)"
144,2016,"50910","Brookton (S)"
390,2016,"51890","Collie (S)"
1243,2016,"50980","Broome (S)"
3007,2016,"51190","Bunbury (C)"
3821,2016,"51260","Busselton (C)"
3818,2016,"51310","Cambridge (T)"
499,2016,"48750","Yankalilla (DC)"
1296,2016,"48830","Yorke Peninsula (DC)"
166,2016,"51080","Broomehill-Tambellup (S)"
8638,2016,"51330","Canning (C)"
1058,2016,"51400","Capel (S)"
87,2016,"51470","Carnamah (S)"
148,2016,"51120","Bruce Rock (S)"
213,2016,"52240","Cranbrook (S)"
556,2016,"51680","Chittering (S)"
95,2016,"52310","Cuballing (S)"
520,2016,"52590","Dandaragan (S)"
1594,2016,"51750","Claremont (T)"
791,2016,"52660","Dardanup (S)"
705,2016,"52730","Denmark (S)"
273,2016,"52800","Derby-West Kimberley (S)"
702,2016,"52870","Donnybrook-Balingup (S)"
4654,2016,"53430","Fremantle (C)"
7800,2016,"51820","Cockburn (C)"
204,2016,"52100","Corrigin (S)"
625,2016,"53570","Gingin (S)"
1423,2016,"52170","Cottesloe (T)"
11,2016,"52380","Cue (S)"
271,2016,"53640","Gnowangerup (S)"
988,2016,"54310","Karratha (C)"
174,2016,"52450","Cunderdin (S)"
266,2016,"52520","Dalwallinu (S)"
135,2016,"52940","Dowerin (S)"
115,2016,"53010","Dumbleyung (S)"
3249,2016,"53800","Greater Geraldton (C)"
68,2016,"53920","Halls Creek (S)"
1599,2016,"53990","Harvey (S)"
416,2016,"54060","Irwin (S)"
38,2016,"53080","Dundas (S)"
883,2016,"53150","East Fremantle (T)"
237,2016,"54130","Jerramungup (S)"
209,2016,"53220","East Pilbara (S)"
1744,2016,"53290","Esperance (S)"
278,2016,"53360","Exmouth (S)"
2059,2016,"54280","Kalgoorlie/Boulder (C)"
13120,2016,"54170","Joondalup (C)"
4399,2016,"54200","Kalamunda (C)"
1554,2016,"54830","Kwinana (C)"
152,2016,"53710","Goomalling (S)"
367,2016,"54900","Lake Grace (S)"
70,2016,"55250","Meekatharra (S)"
10450,2016,"55320","Melville (C)"
6983,2016,"53780","Gosnells (C)"
388,2016,"54340","Katanning (S)"
132,2016,"54410","Kellerberrin (S)"
145,2016,"54480","Kent (S)"
506,2016,"54550","Kojonup (S)"
192,2016,"54620","Kondinin (S)"
74,2016,"54690","Koorda (S)"
157,2016,"54760","Kulin (S)"
23,2016,"54970","Laverton (S)"
66,2016,"55040","Leonora (S)"
116,2016,"55950","Mukinbudin (S)"
4624,2016,"55110","Mandurah (C)"
1177,2016,"55180","Manjimup (S)"
null,2016,"55390","Menzies (S)"
89,2016,"55530","Mingenew (S)"
360,2016,"55460","Merredin (S)"
3177,2016,"56090","Mundaring (S)"
390,2016,"55600","Moora (S)"
30,2016,"55810","Mount Magnet (S)"
108,2016,"55670","Morawa (S)"
31,2016,"56860","Nungarin (S)"
118,2016,"55880","Mount Marshall (S)"
144,2016,"56300","Nannup (S)"
4925,2016,"57840","South Perth (C)"
null,2016,"56620","Ngaanyatjarraku (S)"
965,2016,"55740","Mosman Park (T)"
21353,2016,"57910","Stirling (C)"
354,2016,"56790","Northampton (S)"
336,2016,"56930","Peppermint Grove (S)"
166,2016,"57140","Pingelly (S)"
4,2016,"56160","Murchison (S)"
726,2016,"57210","Plantagenet (S)"
744,2016,"57280","Port Hedland (T)"
144,2016,"57350","Quairading (S)"
265,2016,"57420","Ravensthorpe (S)"
5426,2016,"57490","Rockingham (C)"
1138,2016,"56230","Murray (S)"
159,2016,"56370","Narembeen (S)"
37,2016,"74660","West Arnhem (R)"
9,2016,"74680","West Daly (R)"
414,2016,"79399","Unincorporated NT"
511,2016,"56460","Narrogin (S)"
26038,2016,"89399","Unincorporated ACT"
59,2016,"99399","Unincorp. Other Territories"
3683,2016,"56580","Nedlands (C)"
790,2016,"56730","Northam (S)"
3,2016,"57630","Sandstone (S)"
1941,2016,"57700","Serpentine-Jarrahdale (S)"
80,2016,"57770","Shark Bay (S)"
110,2016,"57000","Perenjori (S)"
12197,2016,"57080","Perth (C)"
4667,2016,"57980","Subiaco (C)"
9987,2016,"58050","Swan (C)"
67,2016,"58190","Tammin (S)"
90,2016,"58260","Three Springs (S)"
388,2016,"58330","Toodyay (S)"
1397,2016,"65810","West Tamar (M)"
1948,2016,"70200","Alice Springs (T)"
56,2016,"58400","Trayning (S)"
37,2016,"59030","Westonia (S)"
3,2016,"58470","Upper Gascoyne (S)"
74,2016,"58680","Wandering (S)"
12480,2016,"58760","Wanneroo (C)"
340,2016,"58820","Waroona (S)"
183,2016,"58890","West Arthur (S)"
72,2016,"59330","Wyalkatchem (S)"
