yr, lga_code17, solar_inst_small_scale_solar_panel_sys_inst_num, lga_name17
2016,"26490",2633,"Surf Coast (S)"
2016,"26610",1605,"Swan Hill (RC)"
2016,"26670",846,"Towong (S)"
2016,"26700",2838,"Wangaratta (RC)"
2016,"26730",1365,"Warrnambool (C)"
2016,"26810",4044,"Wellington (S)"
2016,"26890",356,"West Wimmera (S)"
2016,"26980",5856,"Whitehorse (C)"
2016,"27070",9335,"Whittlesea (C)"
2016,"27170",2750,"Wodonga (C)"
2016,"27260",13411,"Wyndham (C)"
2016,"27350",1623,"Yarra (C)"
2016,"27450",8377,"Yarra Ranges (S)"
2016,"27630",687,"Yarriambiack (S)"
2016,"29399",114,"Unincorporated Vic"
2016,"30250",null,"Aurukun (S)"
2016,"30300",437,"Balonne (S)"
2016,"30370",1352,"Banana (S)"
2016,"30410",268,"Barcaldine (R)"
2016,"30450",25,"Barcoo (S)"
2016,"30760",179,"Blackall-Tambo (R)"
2016,"32260",2376,"Cassowary Coast (R)"
2016,"32270",2164,"Central Highlands (R) (Qld)"
2016,"32310",1002,"Charters Towers (R)"
2016,"31750",38,"Bulloo (S)"
2016,"34880",2132,"Mareeba (S)"
2016,"35010",55931,"Moreton Bay (R)"
2016,"35250",null,"Mornington (S)"
2016,"35300",1353,"Mount Isa (C)"
2016,"35600",448,"Murweh (S)"
2016,"35670",null,"Napranum (S)"
2016,"35740",7517,"Noosa (S)"
2016,"35760",1201,"North Burnett (R)"
2016,"35780",22,"Northern Peninsula Area (R)"
2016,"35790",282,"Palm Island (S)"
2016,"35800",213,"Paroo (S)"
2016,"31820",12770,"Bundaberg (R)"
2016,"31900",2079,"Burdekin (S)"
2016,"31950",21,"Burke (S)"
2016,"32080",11727,"Cairns (R)"
2016,"36070",null,"Pormpuraaw (S)"
2016,"36150",59,"Quilpie (S)"
2016,"36250",21834,"Redland (C)"
2016,"36300",70,"Richmond (S)"
2016,"30900",43,"Boulia (S)"
2016,"36370",6541,"Rockhampton (R)"
2016,"36510",6049,"Scenic Rim (R)"
2016,"36580",3991,"Somerset (R)"
2016,"36630",3761,"South Burnett (R)"
2016,"36660",4367,"Southern Downs (R)"
2016,"31000",99328,"Brisbane (C)"
2016,"32250",89,"Carpentaria (S)"
2016,"36720",40885,"Sunshine Coast (R)"
2016,"36820",2242,"Tablelands (R)"
2016,"46450",2581,"Port Pirie City and Dists (M)"
2016,"32330",100,"Cherbourg (S)"
2016,"37010",19283,"Townsville (C)"
2016,"33360",6679,"Gladstone (R)"
2016,"33430",53073,"Gold Coast (C)"
2016,"33610",1042,"Goondiwindi (R)"
2016,"33620",7753,"Gympie (R)"
2016,"33800",1274,"Hinchinbrook (S)"
2016,"33830",55,"Hope Vale (S)"
2016,"32450",151,"Cloncurry (S)"
2016,"32500",172,"Cook (S)"
2016,"32600",25,"Croydon (S)"
2016,"34770",9986,"Mackay (R)"
2016,"34800",63,"McKinlay (S)"
2016,"34830",null,"Mapoon (S)"
2016,"34860",1677,"Maranoa (R)"
2016,"33960",21087,"Ipswich (C)"
2016,"33980",790,"Isaac (R)"
2016,"34420",null,"Kowanyama (S)"
2016,"32750",19,"Diamantina (S)"
2016,"34530",3883,"Livingstone (S)"
2016,"34570",null,"Lockhart River (S)"
2016,"34580",5643,"Lockyer Valley (R)"
2016,"34590",36993,"Logan (C)"
2016,"34710",297,"Longreach (R)"
2016,"50350",1288,"Bassendean (T)"
2016,"36910",14503,"Toowoomba (R)"
2016,"36950",37,"Torres (S)"
2016,"36960",49,"Torres Strait Island (R)"
2016,"50420",4575,"Bayswater (C)"
2016,"50490",2608,"Belmont (C)"
2016,"50560",298,"Beverley (S)"
2016,"50630",161,"Boddington (S)"
2016,"32770",37,"Doomadgee (S)"
2016,"50770",147,"Boyup Brook (S)"
2016,"50840",436,"Bridgetown-Greenbushes (S)"
2016,"50910",103,"Brookton (S)"
2016,"50980",467,"Broome (S)"
2016,"51310",1471,"Cambridge (T)"
2016,"51330",9070,"Canning (C)"
2016,"51400",1673,"Capel (S)"
2016,"51470",62,"Carnamah (S)"
2016,"32810",1044,"Douglas (S)"
2016,"33100",71,"Etheridge (S)"
2016,"33200",186,"Flinders (S) (Qld)"
2016,"33220",14702,"Fraser Coast (R)"
2016,"37300",5,"Weipa (T)"
2016,"37310",2898,"Western Downs (R)"
2016,"37340",3206,"Whitsunday (R)"
2016,"51540",212,"Carnarvon (S)"
2016,"51610",114,"Chapman Valley (S)"
2016,"52240",66,"Cranbrook (S)"
2016,"37550",7,"Woorabinda (S)"
2016,"40250",17,"Anangu Pitjantjatjara (AC)"
2016,"40310",3824,"Barossa (DC)"
2016,"40430",663,"Barunga West (DC)"
2016,"40520",1613,"Berri and Barmera (DC)"
2016,"52310",105,"Cuballing (S)"
2016,"37400",73,"Winton (S)"
2016,"41010",446,"Ceduna (DC)"
2016,"41060",11405,"Charles Sturt (C)"
2016,"41330",8,"Coober Pedy (DC)"
2016,"41140",1447,"Clare and Gilbert Valleys (DC)"
2016,"41560",2868,"Copper Coast (DC)"
2016,"41750",140,"Elliston (DC)"
2016,"37570",15,"Wujal Wujal (S)"
2016,"43080",170,"Karoonda East Murray (DC)"
2016,"43920",1523,"Mallala (DC)"
2016,"37600",191,"Yarrabah (S)"
2016,"44620",1658,"Mount Gambier (C)"
2016,"40070",840,"Adelaide (C)"
2016,"40120",5164,"Adelaide Hills (DC)"
2016,"40220",5712,"Alexandrina (DC)"
2016,"40700",4273,"Burnside (C)"
2016,"40910",5077,"Campbelltown (C) (SA)"
2016,"41190",341,"Cleve (DC)"
2016,"41830",363,"Flinders Ranges (DC)"
2016,"41960",260,"Franklin Harbour (DC)"
2016,"42030",3026,"Gawler (T)"
2016,"42110",596,"Goyder (DC)"
2016,"42250",781,"Grant (DC)"
2016,"42600",3652,"Holdfast Bay (C)"
2016,"42750",821,"Kangaroo Island (DC)"
2016,"43220",152,"Kimba (DC)"
2016,"43360",350,"Kingston (DC) (SA)"
2016,"43650",2298,"Light (RegC)"
2016,"43710",829,"Lower Eyre Peninsula (DC)"
2016,"43790",2070,"Loxton Waikerie (DC)"
2016,"44830",595,"Mount Remarkable (DC)"
2016,"45040",3153,"Murray Bridge (RC)"
2016,"44000",9,"Maralinga Tjarutja (AC)"
2016,"45400",191,"Orroroo/Carrieton (DC)"
2016,"44060",9931,"Marion (C)"
2016,"44210",1967,"Mid Murray (DC)"
2016,"44340",6925,"Mitcham (C)"
2016,"44550",4580,"Mount Barker (DC)"
2016,"45090",847,"Naracoorte and Lucindale (DC)"
2016,"45540",302,"Peterborough (DC)"
2016,"45120",867,"Northern Areas (DC)"
2016,"45290",3152,"Norwood Payneham St Peters (C)"
2016,"45340",23966,"Onkaparinga (C)"
2016,"45680",9051,"Playford (C)"
2016,"45890",12787,"Port Adelaide Enfield (C)"
2016,"46090",2072,"Port Augusta (C)"
2016,"46300",1708,"Port Lincoln (C)"
2016,"46510",1914,"Prospect (C)"
2016,"46670",1346,"Renmark Paringa (DC)"
2016,"46860",259,"Robe (DC)"
2016,"46970",179,"Roxby Downs (M)"
2016,"47140",16490,"Salisbury (C)"
2016,"47290",283,"Southern Mallee (DC)"
2016,"47490",414,"Streaky Bay (DC)"
2016,"47630",839,"Tatiara (DC)"
2016,"47700",12283,"Tea Tree Gully (C)"
2016,"47800",876,"The Coorong (DC)"
2016,"47910",523,"Tumby Bay (DC)"
